,vcc,sf,bw,pwr,cr,t_est,t_meas,i_q,i_tx,source_file,temp
164,2300.0,9,125,13,5,0.145,103.83,1.5885876131990708,58.661706789858734,test_2300.0_30deg.csv,30
165,2300.0,9,125,14,5,0.145,103.58,1.5867295547665916,60.61416639201845,test_2300.0_30deg.csv,30
166,2300.0,9,125,15,5,0.145,103.62,1.5864207531957788,65.53203779316344,test_2300.0_30deg.csv,30
167,2300.0,9,125,16,5,0.145,103.62,1.586002851055185,72.40195462668449,test_2300.0_30deg.csv,30
168,2300.0,9,125,17,5,0.145,103.62,1.5870618847757267,80.71558276255217,test_2300.0_30deg.csv,30
169,2300.0,9,125,20,5,0.145,103.66,1.5866913339590545,106.25178862508471,test_2300.0_30deg.csv,30
170,2300.0,9,250,2,5,0.073,51.99,1.5871151105270274,27.67288364652993,test_2300.0_30deg.csv,30
171,2300.0,9,250,3,5,0.073,52.0,1.587735498589627,29.53069669912171,test_2300.0_30deg.csv,30
172,2300.0,9,250,4,5,0.073,52.04,1.587169389937222,31.87464712494367,test_2300.0_30deg.csv,30
173,2300.0,9,250,5,5,0.073,52.02,1.5881550950193002,34.00968439101261,test_2300.0_30deg.csv,30
174,2300.0,9,250,6,5,0.073,52.05,1.588755637845402,36.26002166416101,test_2300.0_30deg.csv,30
175,2300.0,9,250,7,5,0.073,52.06,1.588733793614078,38.63088370603041,test_2300.0_30deg.csv,30
176,2300.0,9,250,8,5,0.073,52.08,1.588026591467485,40.82709186246379,test_2300.0_30deg.csv,30
177,2300.0,9,250,9,5,0.073,52.08,1.5885128974770852,43.46005556936194,test_2300.0_30deg.csv,30
178,2300.0,9,250,10,5,0.073,52.11,1.588233603308398,46.71703782375885,test_2300.0_30deg.csv,30
179,2300.0,9,250,11,5,0.073,52.11,1.5892258020730126,50.035000066803406,test_2300.0_30deg.csv,30
180,2300.0,9,250,12,5,0.073,52.16,1.589013243314358,54.14323960484849,test_2300.0_30deg.csv,30
181,2300.0,9,250,13,5,0.073,52.16,1.5883963622268131,58.75521255839436,test_2300.0_30deg.csv,30
182,2300.0,9,250,14,5,0.073,51.92,1.5863349231352004,60.680050397477366,test_2300.0_30deg.csv,30
183,2300.0,9,250,15,5,0.073,51.91,1.5852754287121718,65.54600138134585,test_2300.0_30deg.csv,30
184,2300.0,9,250,16,5,0.073,51.9,1.5848930082306676,72.4545026549814,test_2300.0_30deg.csv,30
185,2300.0,9,250,17,5,0.073,51.93,1.5861403430252132,80.65441642132518,test_2300.0_30deg.csv,30
186,2300.0,9,250,20,5,0.073,51.94,1.5858438668601746,106.09809511596636,test_2300.0_30deg.csv,30
187,2300.0,9,500,2,5,0.037,26.12,1.5870057927393606,28.115157378274976,test_2300.0_30deg.csv,30
188,2300.0,9,500,3,5,0.037,26.15,1.5871630818408449,29.96243031923863,test_2300.0_30deg.csv,30
189,2300.0,9,500,4,5,0.037,26.17,1.5875063814247472,32.284982723313746,test_2300.0_30deg.csv,30
190,2300.0,9,500,5,5,0.037,26.19,1.5866816231059986,34.38383998504404,test_2300.0_30deg.csv,30
191,2300.0,9,500,6,5,0.037,26.21,1.5884683732848286,36.59710899991625,test_2300.0_30deg.csv,30
192,2300.0,9,500,7,5,0.037,26.22,1.5882796246944757,38.95232440467399,test_2300.0_30deg.csv,30
193,2300.0,9,500,8,5,0.037,26.24,1.5882351665276595,41.135775278868685,test_2300.0_30deg.csv,30
194,2300.0,9,500,9,5,0.037,26.24,1.588358903077358,43.75135420864413,test_2300.0_30deg.csv,30
195,2300.0,9,500,10,5,0.037,26.24,1.5888401292770369,47.03204839244794,test_2300.0_30deg.csv,30
196,2300.0,9,500,11,5,0.037,26.25,1.5888876155118117,50.277575333825645,test_2300.0_30deg.csv,30
197,2300.0,9,500,12,5,0.037,26.3,1.5893862544796395,54.34808370157268,test_2300.0_30deg.csv,30
198,2300.0,9,500,13,5,0.037,26.28,1.5896305741280965,58.94668074892233,test_2300.0_30deg.csv,30
199,2300.0,9,500,14,5,0.037,26.06,1.586340197143227,60.99296888451801,test_2300.0_30deg.csv,30
200,2300.0,9,500,15,5,0.037,26.05,1.5858835125146729,65.91300272814564,test_2300.0_30deg.csv,30
201,2300.0,9,500,16,5,0.037,26.08,1.586360117075202,72.86059021443754,test_2300.0_30deg.csv,30
202,2300.0,9,500,17,5,0.037,26.07,1.5866983638951535,80.92352344883564,test_2300.0_30deg.csv,30
203,2300.0,9,500,20,5,0.037,26.11,1.5867909452796536,106.21812978920948,test_2300.0_30deg.csv,30
204,2300.0,10,125,2,5,0.289,207.11,1.5878529005392907,27.48378040203584,test_2300.0_30deg.csv,30
205,2300.0,10,125,3,5,0.289,207.12,1.5885512720864576,29.36636184947777,test_2300.0_30deg.csv,30
206,2300.0,10,125,4,5,0.289,207.15,1.5882828393736017,31.721498835433938,test_2300.0_30deg.csv,30
207,2300.0,10,125,5,5,0.289,207.16,1.5886168449933278,33.854021878335985,test_2300.0_30deg.csv,30
208,2300.0,10,125,6,5,0.289,207.16,1.5891841556687512,36.11368726507715,test_2300.0_30deg.csv,30
209,2300.0,10,125,7,5,0.289,207.2,1.5890348980050002,38.49700092046137,test_2300.0_30deg.csv,30
210,2300.0,10,125,8,5,0.289,207.2,1.588551305876725,40.72753989272868,test_2300.0_30deg.csv,30
211,2300.0,10,125,9,5,0.289,207.23,1.5883946428866311,43.35245358622202,test_2300.0_30deg.csv,30
212,2300.0,10,125,10,5,0.289,207.24,1.5887212359982998,46.69717954657972,test_2300.0_30deg.csv,30
213,2300.0,10,125,11,5,0.289,207.24,1.589681312986252,49.96892548135231,test_2300.0_30deg.csv,30
214,2300.0,10,125,12,5,0.289,207.26,1.5888705320723535,54.14798092239818,test_2300.0_30deg.csv,30
215,2300.0,10,125,13,5,0.289,207.29,1.5886222344678609,58.788805025443,test_2300.0_30deg.csv,30
216,2300.0,10,125,14,5,0.289,207.02,1.58675813385167,60.53576616084086,test_2300.0_30deg.csv,30
217,2300.0,10,125,15,5,0.289,207.04,1.5874873969099808,65.5829064772912,test_2300.0_30deg.csv,30
218,2300.0,10,125,16,5,0.289,207.04,1.587796178789811,72.61651086674325,test_2300.0_30deg.csv,30
219,2300.0,10,125,17,5,0.289,207.07,1.5873027123346313,80.82637059477109,test_2300.0_30deg.csv,30
220,2300.0,10,125,20,5,0.289,207.09,1.587508250005658,106.32177986973004,test_2300.0_30deg.csv,30
221,2300.0,10,250,2,5,0.145,103.68,1.588478520283863,27.767912237690314,test_2300.0_30deg.csv,30
222,2300.0,10,250,3,5,0.145,103.72,1.5876394299272103,29.653075711716596,test_2300.0_30deg.csv,30
223,2300.0,10,250,4,5,0.145,103.72,1.5875394827137863,31.975350695589107,test_2300.0_30deg.csv,30
224,2300.0,10,250,5,5,0.145,103.75,1.5876996333428608,34.124697201609266,test_2300.0_30deg.csv,30
225,2300.0,10,250,6,5,0.145,103.75,1.5882161132061203,36.34515159469891,test_2300.0_30deg.csv,30
226,2300.0,10,250,7,5,0.145,103.76,1.5889315193274618,38.764394128004206,test_2300.0_30deg.csv,30
227,2300.0,10,250,8,5,0.145,103.77,1.5882084363164144,40.98392411033896,test_2300.0_30deg.csv,30
228,2300.0,10,250,9,5,0.145,103.8,1.5882702054436413,43.61058732339172,test_2300.0_30deg.csv,30
229,2300.0,10,250,10,5,0.145,103.82,1.588269560865046,46.90449626196026,test_2300.0_30deg.csv,30
230,2300.0,10,250,11,5,0.145,103.81,1.5889078713057203,50.24135556393544,test_2300.0_30deg.csv,30
231,2300.0,10,250,12,5,0.145,103.86,1.589051873270601,54.401028944961766,test_2300.0_30deg.csv,30
232,2300.0,10,250,13,5,0.145,103.84,1.588308834435595,58.996040241371134,test_2300.0_30deg.csv,30
233,2300.0,10,250,14,5,0.145,103.6,1.5869026283676646,60.70215733337098,test_2300.0_30deg.csv,30
234,2300.0,10,250,15,5,0.145,103.6,1.586663286949647,65.77475300912882,test_2300.0_30deg.csv,30
235,2300.0,10,250,16,5,0.145,103.6,1.5870824527138077,72.69714382330584,test_2300.0_30deg.csv,30
236,2300.0,10,250,17,5,0.145,103.63,1.5871315336279892,80.81684412205259,test_2300.0_30deg.csv,30
237,2300.0,10,250,20,5,0.145,103.68,1.587059579451003,106.6188897757846,test_2300.0_30deg.csv,30
238,2300.0,10,500,2,5,0.073,52.01,1.5877760297938357,28.244901233037023,test_2300.0_30deg.csv,30
239,2300.0,10,500,3,5,0.073,52.01,1.5881544542847834,30.14439887673988,test_2300.0_30deg.csv,30
240,2300.0,10,500,4,5,0.073,52.04,1.5874968777916831,32.453797007358524,test_2300.0_30deg.csv,30
241,2300.0,10,500,5,5,0.073,52.06,1.5885819062418411,34.62356721900674,test_2300.0_30deg.csv,30
242,2300.0,10,500,6,5,0.073,52.05,1.588290486127753,36.8478707588959,test_2300.0_30deg.csv,30
243,2300.0,10,500,7,5,0.073,52.07,1.5881035468375888,39.241384127753264,test_2300.0_30deg.csv,30
244,2300.0,10,500,8,5,0.073,52.08,1.5880479735245276,41.466514450330514,test_2300.0_30deg.csv,30
245,2300.0,10,500,9,5,0.073,52.09,1.5880298630555258,44.100441926556655,test_2300.0_30deg.csv,30
246,2300.0,10,500,10,5,0.073,52.11,1.5887487687166095,47.39405239721063,test_2300.0_30deg.csv,30
247,2300.0,10,500,11,5,0.073,52.13,1.5872124084502837,50.58192227742757,test_2300.0_30deg.csv,30
